modelo,config,bloque_mes,H,n_ventanas,MAE,RMSE,R2
c2,c2_zs_U_C512,2025-07,24,30,3.5725323838127987,4.5222475726000875,0.037180092992474933
c2,c2_zs_U_C512,2025-07,48,30,3.681662055598365,4.637766707644936,0.004003603207734185
c2,c2_zs_F_C256,2025-07,6,30,2.9722680854797368,3.737378891023113,0.002027728209056723
c2,c2_zs_F_C256,2025-07,12,30,3.2692005704243976,4.404862227166956,0.12792128395228186
c2,c2_zs_F_C256,2025-07,24,30,3.4078514474232993,4.406050766237075,0.08602274962913337
c2,c2_zs_F_C256,2025-07,48,30,3.521823738363054,4.535960579028404,0.047250974838443205
ttm,ttm_zs_U,2025-07,6,30,3.0008945706685393,3.775057463414151,-0.01819591818644306
ttm,ttm_zs_U,2025-07,12,30,3.382592283460829,4.478561606721904,0.09849501206603484
ttm,ttm_zs_U,2025-07,24,30,3.458366130510966,4.414102286933914,0.0826793335447007
ttm,ttm_zs_U,2025-07,48,30,3.5456935339503817,4.498798729627423,0.06279823536688811
ttm,ttm_ft5_F,2025-07,6,30,3.082652269999187,3.84242956858859,-0.05486297568717369
ttm,ttm_ft5_F,2025-07,12,30,3.483918275621203,4.661131794420017,0.023496522360976435
ttm,ttm_ft5_F,2025-07,24,30,3.7960217770470512,4.935040305910276,-0.1466154793634309
ttm,ttm_ft5_F,2025-07,48,30,3.957246765843144,5.137665396203198,-0.22228252467736032
xgb,xgb_E1,2025-08,6,6,2.1409587224324538,2.7190539234857467,0.7282669784536446
xgb,xgb_E1,2025-08,12,6,2.238980495664808,2.9067181403533193,0.6816079774933426
xgb,xgb_E1,2025-08,24,6,2.7953067445755004,3.523584012302948,0.4476203733555274
xgb,xgb_E1,2025-08,48,6,3.1323912358283996,3.872886625819065,0.40038179846178157
xgb,xgb_E3,2025-08,6,6,2.23148657268948,2.8119683324338283,0.7093785749579864
xgb,xgb_E3,2025-08,12,6,2.3958430512746176,3.0363202412847192,0.6525826644391227
xgb,xgb_E3,2025-08,24,6,2.8504422442118322,3.5445027469186594,0.44104219457232285
xgb,xgb_E3,2025-08,48,6,3.094615916146173,3.7976089928799897,0.4234649243855846
c2,c2_zs_U_C512,2025-08,6,6,2.038035996754964,2.495411124412474,0.7711288822277114
c2,c2_zs_U_C512,2025-08,12,6,2.8286565558115644,3.4247058068002856,0.5580197369935704
c2,c2_zs_U_C512,2025-08,24,6,3.193136751916674,3.8603791016701905,0.3369774454584169
c2,c2_zs_U_C512,2025-08,48,6,3.822420725822449,4.615378092244872,0.14843106799558725
c2,c2_zs_F_C256,2025-08,6,6,2.088025603824192,2.565471482237082,0.7580970526605988
c2,c2_zs_F_C256,2025-08,12,6,2.620938507715861,3.1187694597409426,0.6334587291493712
c2,c2_zs_F_C256,2025-08,24,6,2.9785185299979315,3.5650575803051385,0.43454052198888515
c2,c2_zs_F_C256,2025-08,48,6,3.3669760282834367,4.113483330295011,0.3235670984587975
ttm,ttm_zs_U,2025-08,6,6,2.0857549137539335,2.621182567989099,0.7474767796515767
ttm,ttm_zs_U,2025-08,12,6,2.6921890852186414,3.2834522272725573,0.5937272072611931
ttm,ttm_zs_U,2025-08,24,6,2.92382520781623,3.6101862806132803,0.4201340419259698
ttm,ttm_zs_U,2025-08,48,6,3.1990627532535125,3.942064319656883,0.3787696682099191
ttm,ttm_ft5_F,2025-08,6,6,2.2470997132195363,2.7689458333171726,0.7182034335386107
ttm,ttm_ft5_F,2025-08,12,6,2.7153425788879395,3.359200333554132,0.5747658398678352
ttm,ttm_ft5_F,2025-08,24,6,2.99654184129503,3.7197169085753328,0.3844148021686282
ttm,ttm_ft5_F,2025-08,48,6,3.35267860174179,4.141693080951605,0.31425750221669635
xgb,xgb_E1,2025-09,6,23,3.440016655023547,4.399664672885866,0.34924290435653915
xgb,xgb_E1,2025-09,12,23,3.6592695132545803,4.637421426038646,0.29203977622184385
xgb,xgb_E1,2025-09,24,23,3.9444830398974213,4.901743336405728,0.25707568830776173
xgb,xgb_E1,2025-09,48,23,4.37735479855883,5.3872412296869765,0.14109268151911702
xgb,xgb_E3,2025-09,6,23,3.4045163712985276,4.336709145475483,0.36773324162182097
xgb,xgb_E3,2025-09,12,23,3.6359022586933083,4.546966482756155,0.3193885748315193
xgb,xgb_E3,2025-09,24,23,3.989961601547573,4.905517276406438,0.2559312664503698
xgb,xgb_E3,2025-09,48,23,4.353656654761034,5.30335770609214,0.16763214626946998
c2,c2_zs_U_C512,2025-09,6,23,3.2542399486597033,4.107765428429069,0.43272841693334085
c2,c2_zs_U_C512,2025-09,12,23,3.505165777206421,4.353582724461003,0.3760506572117317
c2,c2_zs_U_C512,2025-09,24,23,3.88755224386851,4.757126689852687,0.30026616974332776
c2,c2_zs_U_C512,2025-09,48,23,4.305089399054431,5.209251539243238,0.19691019057092551
c2,c2_zs_F_C256,2025-09,6,23,3.1940732922761335,4.241015094315919,0.3953286470090086
c2,c2_zs_F_C256,2025-09,12,23,3.442888083250627,4.498709000706499,0.33375872777551574
c2,c2_zs_F_C256,2025-09,24,23,3.621233476486759,4.5900274523144065,0.34856062916450603
c2,c2_zs_F_C256,2025-09,48,23,3.792769114141879,4.733004166929609,0.33704014434375384
ttm,ttm_zs_U,2025-09,6,23,3.3065091124824857,4.053651513758825,0.44757594911429244
ttm,ttm_zs_U,2025-09,12,23,3.5815573480854863,4.352031201062049,0.37649530226217354
ttm,ttm_zs_U,2025-09,24,23,3.978967510029889,4.778549502688263,0.29394974356260894
ttm,ttm_zs_U,2025-09,48,23,4.401452210606008,5.273865915130768,0.17686394421906293
ttm,ttm_ft5_F,2025-09,6,23,2.953669853486877,3.8805170739857937,0.49375708893998793
ttm,ttm_ft5_F,2025-09,12,23,3.2375047564852064,4.382727281531923,0.3676687813344005
ttm,ttm_ft5_F,2025-09,24,23,3.9377624949856083,5.067349453839228,0.20602807402136125
